outlet_name,count
Yorkshire Evening Post,193
Yorkshireeveningpost.co.uk,98
BBC Radio Leeds,81
yorkshireeveningpost.co.uk,36
Yorkshire Post,19
West Leeds Dispatch,14
South Leeds Life,12
Yorkshire Evening Post - Yorkshireeveningpost.co.uk,11
westleedsdispatch.com,10
BBC One Yorkshire,9
The Yorkshire Post,7
"Yorkshire Post - yorkshirepost.co.uk, The",6
BBC One Yorks & Lincs,6
BBC London,6
Yorkshirepost.co.uk,6
insidermedia.com,6
Yorkshire evening post,5
BBC Radio Sheffield,5
artsprofessional.co.uk,5
Yorkshire post,4
BBC News Channel,4
leeds-live.co.uk,3
prolificnorth.co.uk,3
Channel 4,3
Head Topics,3
Yorksire Evening Post,3
"Gryphon - www.thegryphon.co.uk, The",3
ITV 1 Yorkshire West,3
Insider Media,3
Leeds Live,3
BBC1 Cambridge,3
Businessdesk.co.uk,3
Vietname Explorer,3
BBC West Midlands,3
BBC 1 Oxford,3
BBC One South,3
BBC One North West,3
BBC One North East & Cumbria,3
BBC One East Midlands,3
BBC One East,3
BBC One Channel Islands,3
BBC One South West,3
BBC Northern Ireland,3
BBC One West,3
BBC One South East,3
BBC Cymru Wales,3
BBC News Online,3
BBC Scotland,3
News Anyway,2
insider,2
southleedslife.com,2
Bdaily,2
Broadway World,2
"Yorkshire Post, The",2
Arts Professional,2
hertfordshire.greatbritishlife.co.uk,2
Leeds City Council News - News,2
topicuk.co.uk,2
"Yorkshire Post - North Yorks edition, The",2
"Stage - thestage.co.uk, The",2
BBC Radio Humberside,2
the stage,2
HAPPENINGNEXT,2
BBC Radio Jersey,2
Yorkshire Evenning Post,2
thebusinessdesk.com,2
BBC Radio York,2
Yorkshire Evening post,2
Wopular,1
Yorkshirepost,1
Yorskhire Evening Post,1
Yorkshire Business Daily,1
X99news,1
"Yorkshire Times, The",1
Yorkshire Reporter Online,1
World News Network,1
yorkshirebusinessdaily.co.uk,1
Yorkshire Post - Business,1
Yahoo! Sport,1
Yorkshire Eveninig Post,1
Yorkshire  post,1
advisor.museumsandheritage.com,1
designweek.co.uk,1
bdaily.co.uk,1
User Walls,1
telegraph.co.uk,1
tbuisness desk,1
thetelegraphandargus.co.uk,1
south leeds life,1
skysports.com,1
outlook traveller,1
on-magazine.co.uk,1
newsanyway.com,1
museumassociation.org,1
museum association,1
leeds-list.com,1
itv.com,1
itv news,1
west leeds dispatch,1
bradford telegraph and angus,1
inews.co.uk,1
huffingtonpost.co.uk,1
harrogateadvertiser.co.uk,1
guradian,1
eurovoix.com,1
escxtra.com,1
escunited.com,1
esctoday.com,1
design week,1
daily telegrapph,1
cityam.com,1
businessupnorth.co.uk,1
businessmondays.co.uk,1
24HTECH,1
TelegraphandArgus.co.uk,1
Usatodaypost,1
Devon Life (Online),1
Estates Gazette,1
Finno Expert,1
Forstaff main index,1
Harrogate News,1
"Hoot, The",1
Inside the games,1
Insider Daily (Yorkshire) Newsletter,1
Leeds Guide,1
Leeds Homepage - Leeds Discover the real Leeds.,1
Leeds Rihnos,1
Leeds live,1
Leeds-List.com,1
Leeds.Gov.UK,1
MSN News,1
MSN UK,1
Doinggoodleeds.org,1
Daily Express - express.co.uk,1
Usa Jaun News,1
Daily Express,1
ArtsProfessional,1
Asian Voice,1
BBC Radio 4,1
BBC Radio 4 - Front Row,1
BBC Two,1
BBC Two Wales,1
Besttraveltale,1
Breakn,1
"British Library, The",1
Business Daily Media,1
BusinessDesk,1
CRWE World,1
Construction Enquirer,1
Creative Boom,1
Creative review,1
ManchesterWorld,1
Museums + Heritage Advisor,1
Museums Association,1
Newcastle World,1
The Stage,1
The Stage Newsletter,1
The Sunday Times,1
The Voice,1
The Yorkshireman,1
The observer,1
TheBusinessDesk.com,1
TheTicketingBusiness News,1
Theatre Weekly,1
Today Post us Zero,1
Topic UK,1
Twitter - Aesthetica Magazine,1
UK Daily News,1
UK Tech News,1
University of Leeds,1
Anygator (uk),1
Technotrenz.com,1
TechiAzi,1
"Stage, The",1
Newslanes,1
Newstart,1
North East Connected,1
Outlook India,1
Pedfire,1
Pink News,1
Repeating Islands,1
yorkshirepost.co.uk,1
Rough Guides,1
Samachar Central,1
Sheffield Star,1
"Stage - Online, The",1
Yorkshire Evening Post enews,0
Yorkshireeveningpost,0
leeds news daily,0
Richard stead breakfast show,0
