month,count
2021-01,5
2021-02,1
2021-03,22
2021-04,17
2021-05,25
2021-06,19
2021-07,15
2021-08,39
2021-09,29
2021-10,43
2021-11,46
2021-12,10
2022-01,36
2022-02,27
2022-03,13
2022-04,21
2022-05,15
2022-06,50
2022-07,27
2022-08,17
2022-09,231
2022-10,28
2022-11,39
2022-12,74
