date,volunteers,hours
2022-10-14,30,20
2022-10-21,12,8
2022-10-28,0,0
2022-11-04,21,63
2022-11-11,14,42
2022-11-18,3,14
2022-11-25,100,63
2022-12-02,42,41
2022-12-09,4,13
2022-12-16,181,551
2022-12-23,71,206
2022-12-30,0,0
2023-01-06,58,44
2023-01-13,195,1054
2023-01-20,0,0
2023-01-27,18,36
2023-02-03,62,195
2023-02-10,152,221
2023-02-17,28,54
2023-02-24,3,15
