News Date,News Headline,Contact Name,Outlet Name,Outlet Type,Audience Reach,UV*,Tone,Medium,Custom Tags,News Company Mentions
2020-01-05,The Good Book by Slung Low and Leeds People’s Theatre,,leeds 2023,,,,,,,
2020-02-10,winners announced for the inaugural northern asain powerlist 2020,,Business desk ,,,,,Online ,,
2020-02-20,Armitage puts poetry in motion with plan for centre,,Yorkshire post ,,,,,Print,,
2020-02-20,Simon sows the seeds of poetry centre in Leeds,,Yorkshire post ,,,,,Print,,
2020-02-20,Poetic justice a national centre for yokshire ,,Yorkshire post ,,,,,Print,,
2020-02-27,Laureate calls for UK to establish national poetry headquaters,,Guardian ,,,,,Print,,
2020-02-28,Anothony Clavane every Friday ,,Yorkshire post ,,,,,Print,,
2020-02-28,Arts view tony earnshaw ,,Yorkshire post ,,,,,Print ,,
2020-02-28,Simon armitage poet laureate leeds the way ,,observer,,,,,Print,,
2020-03-06,a message of soliditary from leeds black and brown female cultural leaders ,,the voice ,,,,,Online ,,
2020-03-06,cultural leaders in leeds pledge to continue to fight racism as they back blm,,yorkshire post ,,,,,Online ,regional ,
2020-03-06,leeds art leaders release black lives matter statement today ,,the stage,,,,,Online ,,
2020-04-08,Leeds to get huge new brdige over river aire and uks biggest city centre park,,Leeds live,,,,,Online ,,
2020-04-09,,,Yorkshire post culture ,,21801.0,,,Print ,,
2020-04-11,Award winning exec. Producer revealed for Leeds 2023,,Yorkshire evening post ,,302040.0,,,Online ,,
2020-05-06,The Performance Ensemble reveals a tiny story every day in June ,,LEEDS 2023,,,,,Online,,
2020-05-13,"ARTS Kully Thiarai, creative director of Leeds2023 (Front cover) ",,Yorkshire post culture ,,21801.0,,,Print ,,
2020-05-13,Leeds 2023 Chief Aims for world class events (Front cover) ,,The Yorkshire Post ,,21801.0,,,Print ,Regional,
2020-06-10,Achievements of North's Asian 'gems' overlooked ,,Yorkshire post ,,21801.0,,,Print ,Regional,
2020-07-08,Why leeds united promtion is also a victory for citys cultural scene anothy clavane ,,Yorkshire post ,,,,,Online ,,
2020-07-25,,,Yorkshire Evening Post,,18534.0,,,Print,Local,
2020-07-25,,,Yorkshireeveningpost.co.uk,,302040.0,,,Online,Online,
2020-08-09,Rich tapestry of stories can help shape our lives ,,Yorkshire post ,,21801.0,,,Print ,Regional,
2020-08-20,Armley: Projects target inner city as preparetaions for leeds 2023 continue ,,West Leeds Dispatch,,,,,Online ,,
2020-08-26,wheels in motion for leeds 23,,yorkshire evening post ,,,,,Print,,
