Scope,Type,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-10,2022-11,N/A,Total
international,mention,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
international,news,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
local,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
local,comment/opinion,0,10,12,8,4,5,9,8,10,7,6,1,0,0,80
local,feature,19,8,9,10,3,10,6,3,1,1,4,0,1,0,75
local,mention,0,0,0,1,2,7,0,1,1,3,9,0,0,0,24
local,news,0,0,2,3,0,4,6,0,3,0,3,0,0,0,21
national/trade,feature,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3
national/trade,mention,1,0,0,1,0,2,0,0,1,2,8,0,0,0,15
national/trade,news,0,0,2,2,0,0,1,0,0,0,2,0,0,0,7
regional,comment/opinion,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4
regional,feature,2,0,0,0,0,3,0,0,1,0,0,0,0,0,6
regional,mention,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3
regional,news,2,0,3,3,0,4,1,0,0,0,4,0,0,1,18
