news_date,news_headline,outlet_name,audience_reach,tone,medium,custom_tags
2020-02-20,Armitage puts poetry in motion with plan for centre,"Yorkshire Post, The",,,Print,Regional
2020-02-20,Poetic justice a national centre for yokshire,"Yorkshire Post, The",,,Print,Regional
2020-02-20,Simon sows the seeds of poetry centre in Leeds,"Yorkshire Post, The",,,Print,Regional
2020-02-27,Laureate calls for UK to establish national poetry headquaters,"Guardian - theguardian.com, The",,,Print,National
2020-02-28,Anothony Clavane every Friday,"Yorkshire Post, The",,,Print,Regional
2020-02-28,Arts view tony earnshaw,"Yorkshire Post, The",,,Print,Regional
2020-02-28,Simon armitage poet laureate leeds the way,The Observer,,,Print,National
2020-05-01,The Good Book by Slung Low and Leeds People’s Theatre,leeds 2023,,,,
2020-05-13,"ARTS Kully Thiarai, creative director of Leeds2023 (Front cover)","Yorkshire Post, The",21801,,Print,Regional
2020-05-13,Leeds 2023 Chief Aims for world class events (Front cover),"Yorkshire Post, The",21801,,Print,Regional
2020-06-03,a message of soliditary from leeds black and brown female cultural leaders,The Voice,,,Online,
2020-06-03,cultural leaders in leeds pledge to continue to fight racism as they back blm,"Yorkshire Post, The",,,Online,Regional
2020-06-03,leeds art leaders release black lives matter statement today,"Stage - thestage.co.uk, The",,,Online,National; Trade
2020-06-05,The Performance Ensemble reveals a tiny story every day in June,LEEDS 2023,,,Online,
2020-06-09,"Don't let progress on diversity in the theatre be lost, say directors","Yorkshire Post, The",21801,,Print,Regional
2020-06-12,,Look North Yorkshire x3,,,Broadcast/online,
2020-07-25,,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2020-07-25,,Yorkshire Evening Post,18534,,Print,Local
2020-08-04,Leeds to get huge new brdige over river aire and uks biggest city centre park,Leeds Live,,,Online,Local
2020-08-07,Why leeds united promtion is also a victory for citys cultural scene anothy clavane,"Yorkshire Post, The",,,Online,Regional
2020-08-20,Armley: Projects target inner city as preparetaions for leeds 2023 continue,West Leeds Dispatch,,,Online,Local
2020-08-26,Plans the citys landmark of culture begin to take shape,Yorkshire Evening Post,23055,,Print,Local
2020-08-26,wheels in motion for leeds 23,Yorkshire Evening Post,,,Print,Local
2020-09-04,Leeds based perfromance ensemble is a theatre compnay dedicated to telling the stories of older people. Yvetter Huddleston talks to founder Alan Lyddiniard,"Yorkshire Post, The",21801,,Print,Regional
2020-09-04,,"Yorkshire Post, The",21801,,Print,Regional
2020-09-08,Rich tapestry of stories can help shape our lives,"Yorkshire Post, The",21801,,Print,Regional
2020-09-14,leeds 23 supports get it dne,LeedsLiving,,,Online,Local
2020-09-21,"In Conversation With Abigail Scott Paul, Director Of External Relations, Leeds 2023.",LeedsLiving,,,Online,Local
2020-09-25,Creative city,"Yorkshire Post, The",21801,,Print,Regional
2020-10-02,winners announced for the inaugural northern asain powerlist 2020,TheBusinessDesk.com - TheBusinessDesk.com (Yorkshire),,,Online,Regional; Trade
2020-10-06,Achievements of North's Asian 'gems' overlooked,"Yorkshire Post, The",21801,,Print,Regional
2020-10-19,northern asain powerlist 2020 winners kully t,TheBusinessDesk.com - TheBusinessDesk.com (Yorkshire),,,Online,Regional; Trade
2020-10-22,We invest in Culture because it makes a real and postive difference to a place,"Yorkshire Post, The",21801,,Print,Regional
2020-10-29,Creative ecology call for region,"Yorkshire Post, The",21801,,Print,Regional
2020-11-04,Award winning exec. Producer revealed for Leeds 2023,Yorkshire Evening Post,302040,,Online,Local
2020-11-09,People: Andrew Jackson Solicitors; Leeds 2023; Chamber International; and more,TheBusinessDesk.com - TheBusinessDesk.com (Yorkshire),,,Online,Regional; Trade
2020-12-29,Memorial Sculpture for David Oluwale,"Yorkshire Post, The",21801,,Print,Regional
2020-12-29,Sculpture will honor the tragic life of david,Yorkshire Evening Post,23055,,Print,Local
2021-01-05,Yinka Shobibare to create leeds memorial for nigeriuan killed by police in 1960s,"Guardian - theguardian.com, The",,,Online,National
2021-01-08,"Anothony Clavane, every Friday","Yorkshire Post, The",21801,,Print,Regional
2021-01-08,Yinka Shobibare to create sculpture in memory of David Oluwale for leeds 2023,Museums Association,,,Online,National; Trade
2021-02-09,,"Yorkshire Post, The",21817,,Print,Regional
2021-02-16,how street art is blossoming in lockdown with a message of hope,ITV News,,,Broadcast,National
2021-03-01,DAZL dance group set to celebrate 21st birthday by turning former community centre in Middleton into professional studio,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-01,Hello Leeds: How you can help to tell our city's remarkable stories,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-01,"Hello Leeds: Turning the page to help shape our city's story - Laura Collins, YEP Editor",Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-01,How DAZL is opening up a world of new opportunities,Yorkshire Evening Post,23055,,Print,Local
2021-03-01,"Why everyday culture matters so much - Ruth Pitt, Leeds 2023",Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-02,Arts project giving a voice to the community in east Leeds,Yorkshire Evening Post,23055,,Print,Local
2021-03-02,The Chapel FM arts organisation in east Leeds is literally giving a voice to its young people and communities,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-03,Cancelling leeds christmas light switch on is ridiculous claims councillor,Yorkshire Evening Post,,,Online,Local
2021-03-03,Kully Thiarai Leeds 2023 CEO,Yorkshire Evening Post,23055,,Print,Local
2021-03-03,Leeds drama group Generation Squad offers 'incredible experience' of creating stories,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-03,Leeds drama group helping to bring generations together,Yorkshire Evening Post,23055,,Print,Local
2021-03-04,https://www.leeds-live.co.uk/best-in-leeds/whats-on-news/scrapping-leeds-christmas-lights-switch-19966368,Leeds Live,,,Online,Local
2021-03-04,https://www.thetelegraphandargus.co.uk/news/19133287.decision-cancel-leeds-christmas-light-events-save-cash-criticised/,thetelegraphandargus.co.uk,,,Online,Local
2021-03-09,A theatre company's take-over of Holbeck WMC is key to culture for the local community,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-09,Theatre company's role in delivering 'best cultural life',Yorkshire Evening Post,23055,,Print,Local
2021-03-16,An escape for carers behind lens,Yorkshire Evening Post,23055,,Print,Local
2021-03-16,Leeds carers find creative escape thanks to Holbeck arts organisation Skippko,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-23,Creating a cultural calm for corporate communities in Leeds though classical Indian dance,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-23,Minoti creating calm through classical Indian dance sessions,Yorkshire Evening Post,23055,,Print,Local
2021-03-29,Q&A The artist on fostering hope why he doesn’t wanta retorspective and making work inspired by picasso's african art collection,The Observer,139851,,Print,National
2021-03-30,Historic Sunny Bank Mill is showcasing the artists and creative makers of the future in the heart of Farsley,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-03-30,Historic mill now showcasing the city's artists of the future,Yorkshire Evening Post,23055,,Print,Local
2021-04-05,"Children will tell us how to get it right as we strive for normality - Ruth Pitt, Leeds 2023",Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-04-05,How can we help young rediscover play?,Yorkshire Evening Post,23055,,Print,Local
2021-04-06,Capturing a snapshot of volunteers,Yorkshire Evening Post,23055,,Print,Local
2021-04-06,Harehills lamppost poems celebrate Manbassadors mental health volunteers,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-04-23,Inkwell team pulls together to look to a brighter future,Yorkshire Evening Post,23055,,Print,Local
2021-04-23,Leeds Mind project Inkwell Arts hopes to reopen Chapel Allerton base as outreach work begins,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-04-24,Leeds 2023 provides perfect playground for connecting culture with tech',Yorkshire Evening Post,23055,,Print,Local
2021-04-27,'Leeds 2023 provides perfect playground for connecting culture with tech',Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-04-30,Brave Words being spoken by city's disadvantaged children through establishment of new youth theatre programmes,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-04-30,Brave words speaking to childre across Leeds,Yorkshire Evening Post,23055,,Print,Local
2021-05-01,Release of dystopian leeds film with couple who went from molotovs to marriage,"Yorkshire Post, The",,,Online,Regional
2021-05-01,This is a chance to listen to people and hear first-hand what they need',Yorkshire Evening Post,23055,,Print,Local
2021-05-03,"Get dressed up Leeds, we're going out - Ruthh Pitt, Leeds 2023",Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-05-03,Time is here to dip a toe back into cultural life,Yorkshire Evening Post,23055,,Print,Local
2021-05-07,Drawings on a postcard please - The Tetley gallery in Leeds is searching for your 'Superhero',Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-05-07,Entries on a postcard' for Tetley exhibition,Yorkshire Evening Post,23055,,Print,Local
2021-05-08,How organisation is supporting schools to be creative for pupils this summer,Yorkshire Evening Post,23055,,Print,Local
2021-05-09,tracy brabin becomes west yorkshire mayor,TheBusinessDesk.com - TheBusinessDesk.com (Yorkshire),,,Online,Regional; Trade
2021-05-10,brabin becomes first elected mayor of west yorkshire,Insider Media,,,Online,Regional; Trade
2021-05-14,114m boost expected from leeds 23 report,Insider Media,,,Online,Regional; Trade
2021-05-14,Variety is the spice of life in Bramley,Yorkshire Evening Post,23055,,Print,Local
2021-05-14,Variety is the spice of life in Bramley as residents tune in to an online showcase of local talent,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-05-14,,Leeds News Daily,,,,
2021-05-15,Celebrating the impact of cuisnine on Leeds' culture with Indie Food Week,Yorkshire Evening Post,23055,,Print,Local
2021-05-21,Leeds Playhouse to tour family-friendly theatre show across Leeds neighbourhoods,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,302040,,Online,Local
2021-05-21,Show for all the family to tour city,Yorkshire Evening Post,23055,,Print,Local
2021-05-22,How charity is helping community retain a sense of ownership with ideas,Yorkshire Evening Post,23055,,Print,Local
2021-05-25,Leeds 2023 to help create 'powerhouse of culture' across North of England as Corinne Bailey Rae and Kaiser Chiefs’ Simon Rix announced as patron,"Yorkshire Post, The",,,Online,Regional
2021-05-25,Leeds is ready for it's time in the limelight,Yorkshire Evening Post,,,Online,Local
2021-05-25,Richard stead breakfast show,BBC Radio Leeds,,,Broadcast,Regional
2021-05-25,We're letting culture loose (Front cover),Yorkshire Evening Post,23055,,Print,Local
2021-05-25,armly park sculpture marks area's industrial hertitage as leeds 23 launches,West Leeds Dispatch,,,Online,Local
2021-05-26,design inspiration the best projects from may,designweek.co.uk,,,Online,National
2021-05-27,leeds 23 promises to let culture loose,South Leeds Life,,,Online,Local
