news_date,news_headline,outlet_name,audience_reach,uv,tone,medium,outlet_type,custom_tags,news_company_mentions,hash
2022-09-17,Four West Leeds sites earmarked for local authority housing,West Leeds Dispatch,0.0,3141,POS,Online,"Online, consumer",Local,Leeds 2023,3449560835924708816
2022-09-17,Inspirational Bramley Baths hailed a 'beacon for society' as AGM hears of most successful year,West Leeds Dispatch,0.0,3141,NEU,Online,"Online, consumer",Local,Leeds 2023,5699026258122321445
2022-09-17,Support Leeds 2023 city of culture by volunteering,West Leeds Dispatch,0.0,3141,NEU,Online,"Online, consumer",Local,Leeds 2023,13984126536574933602
2022-09-17,Youths shift 34 tonnes as new Bramley eco peace garden takes shape,West Leeds Dispatch,0.0,3141,NEU,Online,"Online, consumer",Local,Leeds 2023,7599677564415597807
2022-09-20,Inspirational Bramley Baths hailed a 'beacon for society' as AGM hears of most successful year,West Leeds Dispatch,0.0,3141,NEU,Online,"Online, consumer",Local,Leeds 2023,16603510265588867168
2022-09-21,Leeds Art Gallery's landmark exhibition puts city's artists in the frame,Leeds City Council News - News,0.0,,POS,Online,"Online, consumer",Local,Leeds 2023,3308852715933509560
2022-09-22,Art Gallery's landmark exhibition puts city's artists in the frame,South Leeds Life,0.0,1687,POS,Online,"Online, consumer",Local,Leeds 2023,13617359417290265394
2022-09-22,Museum Moves 16 - 22 September 2022,Museums + Heritage Advisor,0.0,5091,POS,Online,"Online, consumer",National; Trade,Leeds 2023,93955687234325244
2022-09-22,Steph's Packed Lunch,Channel 4,2821000.0,,NEU,Broadcast,Television station,National,,17462889689144305778
2022-09-22,White Rose Shopping Centre Archives,South Leeds Life,0.0,1687,POS,Online,"Online, consumer",Local,Leeds 2023,6296580169688303837
2022-09-23,BBC London News,BBC One Yorkshire,824001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023; The Awakening,15837122402275465147
2022-09-23,City aims to change lives through art,"Yorkshire Post - North Yorks edition, The",40746.0,,NEU,Newspaper,Newspaper,Regional,,7985038625486321862
2022-09-23,Creativity is just the ticket,TheTicketingBusiness News,0.0,,POS,Online,"Online, consumer",International,Leeds Year Of Culture,4271851451067894975
2022-09-23,ITV Lunchtime News,ITV 1 Yorkshire West,790001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023; The Awakening,2571755166496560571
2022-09-23,ITV Lunchtime News,ITV 1 Yorkshire West,790001.0,,NEU,Broadcast,Television station,Regional,Leeds 2023; The Awakening,2571755166496560571
2022-09-23,ITV News London,ITV 1 Yorkshire West,790001.0,,NEU,Broadcast,Television station,Regional,Leeds Year Of Culture; The Awakening,316716459448493447
2022-09-23,Leeds 2023 announces huge opening show at Headingley Stadium with star-studded lineup,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",Local,Leeds 2023; The Awakening,3685803315359607871
2022-09-23,Leeds 2023 announces initial programme,"Stage - Online, The",0.0,,NEU,Online,"Online, trade/industry",National; Trade,Leeds 2023,422526085831493528
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,Breakn,0.0,,POS,Online,"Online, consumer",International,Leeds 2023,3513597586892700805
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,Finno Expert,0.0,,POS,Online,"Online, consumer",International,Leeds 2023,1888950959528423139
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,User Walls,0.0,,POS,Online,"Online, consumer",International,Leeds 2023; The Awakening,11989229728740383664
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,Wopular,0.0,1987,POS,Online,"Online, consumer",International,Leeds 2023,17751824766369511563
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity,World News Network,0.0,197405,POS,Online,"Online, consumer",,Leeds 2023,4531111782745453408
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity - Entertainment,Anygator (uk),0.0,171,POS,Online,"Online, consumer",,Leeds 2023,17311136998724041181
2022-09-23,Leeds 2023 opening-ceremony ticket offer tries to harness city's creativity – BBC,X99news,0.0,,POS,Online,"Online, consumer",International,Leeds 2023,10722940903188104249
2022-09-23,Leeds 2023 to see a reimagining of Mexico's Day of the Dead as elements of the 'epic' programme revealed,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,NEU,Online,"Online, consumer",Regional,Leeds 2023,16475245715297641845
2022-09-23,NEW EXHIBITION PUTS LEEDS ARTISTS IN THE FRAME - Leeds Guide,Leeds Guide,0.0,236,POS,Online,"Online, consumer",Local,Leeds 2023,10736055136659221515
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:20:31.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,7033918724391233604
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:25:34.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,7690245038715855900
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:30:01.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,6510495231084015208
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 07:45:05.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,4113752505857063755
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:00:02.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,14476065973821989595
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:37:02.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,4980797421847607110
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:42:03.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,3053759609775512429
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 08:43:30.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,6172410199020074378
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:04:10.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,1694517452213093589
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:09:12.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,,16757342005945584204
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 10:31:30.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,,3594070011783127160
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 11:00:49.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,4373775016359514938
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 11:16:01.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,The Awakening,5624311440575890408
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 12:00:10.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,3159244153908097459
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 13:00:02.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,6433008293822048212
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 13:49:44.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds City of Culture,12495708978709346069
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:00:01.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,7613278672033494324
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:15:54.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,10474781895338213474
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:36:18.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,14206613917972334777
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 14:41:18.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,17301406690569724364
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 15:24:31.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,1170318844469846941
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 15:40:37.000,BBC Radio Leeds,78000.0,,POS,Broadcast,Radio station,Regional,Leeds 2023,9095065203062084294
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 16:51:42.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023; The Awakening,1564846605862481280
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 17:16:24.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,1225993106565908102
2022-09-23,Radio clip from BBC Leeds at 2022-09-23 17:49:55.000,BBC Radio Leeds,78000.0,,NEU,Broadcast,Radio station,Regional,Leeds 2023,13801604580694423250
2022-09-23,Stadium show offers tickets in exchange for art,MSN News,0.0,59740000,POS,Online,"Online, consumer",International; National,Leeds 2023; The Awakening,12562181845980880380
2022-09-23,Stadium show offers tickets in exchange for art,Vietname Explorer,0.0,204240,POS,Online,"Online, consumer",International,Leeds 2023; The Awakening,4961087862106241549
2022-09-23,Steph's Packed Lunch,Channel 4,2821000.0,,POS,Broadcast,Television station,National,Leeds 2023; The Awakening,6861555738476829767
2022-09-24,Carly Rae Jepsen to perform 'The So Nice Tour' in Leeds 2023,Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,NEU,Online,"Online, consumer",Local,Leeds 2023,11690972494580935815
2022-09-24,Epic programme announced with 100 days to go to LEEDS 2023,South Leeds Life,0.0,1687,POS,Online,"Online, consumer",Local,Leeds 2023; The Awakening,1823562713427221066
2022-09-24,Headingley Stadium live show announced as 100 day countdown begins,"Yorkshire Post - yorkshirepost.co.uk, The",0.0,256221,NEU,Online,"Online, consumer",Regional,Leeds 2023; The Awakening,2762138697590817837
2022-09-24,How Leeds2023 is transforming the city for its 'Year of Culture',Yorkshire Evening Post - Yorkshireeveningpost.co.uk,0.0,237450,POS,Online,"Online, consumer",Local,Leeds 2023; Leeds Year Of Culture; The Awakening,8407747453026475991
2022-09-24,LEEDS 2023,"British Library, The",0.0,500,POS,Online,"Online, consumer",National; Trade,Leeds 2023,8481373096579043091
2022-09-24,Leeds 2023 announces initial programme,"Stage - thestage.co.uk, The",0.0,77594,POS,Online,"Online, consumer",National; Trade,Leeds 2023,5588832674363563814
