start_date,partner_organisation
2022-10-01,3
2022-11-01,4
2022-12-01,4
2023-01-01,6
2023-02-01,10
2023-03-01,14
2023-04-01,18
2023-05-01,24
2023-06-01,28
2023-07-01,32
2023-08-01,33
2023-09-01,41
2023-10-01,57
2023-11-01,61
2023-12-01,65
