week,02 - Making A Stand,04 - This is a FOREST,05 - The Barn,06 - National Retrospetive,07 - Children's Day,09 - Smeaton300: Moon Palace East Leeds Observatory,10 - Nest,12 - My LEEDS 2023,13 - Closing,Creative Learning S3
2023-03-31,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
2023-04-07,0.0,0.0,141.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
2023-04-14,0.0,0.0,247.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
2023-04-21,0.0,0.0,462.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
2023-04-28,0.0,0.0,886.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
2023-05-05,0.0,0.0,1331.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
2023-05-12,0.0,0.0,1936.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2023-05-19,0.0,0.0,2101.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2023-05-26,0.0,0.0,2123.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2023-06-02,0.0,0.0,2123.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2023-06-09,0.0,0.0,2123.0,0.0,144.0,40.0,0.0,0.0,0.0,0.0
2023-06-16,5.0,0.0,2123.0,0.0,722.0,40.0,0.0,0.0,0.0,0.0
2023-06-23,9.0,0.0,2123.0,0.0,1281.0,44.0,0.0,4.0,0.0,0.0
2023-06-30,13.0,0.0,2123.0,0.0,1918.0,44.0,0.0,5.0,0.0,0.0
2023-07-07,13.0,0.0,2123.0,0.0,2677.0,44.0,0.0,12.0,0.0,0.0
2023-07-14,13.0,0.0,2123.0,0.0,3468.0,52.0,60.0,12.0,0.0,0.0
2023-07-21,13.0,0.0,2123.0,0.0,3468.0,56.0,91.0,31.0,0.0,0.0
2023-07-28,15.0,0.0,2123.0,0.0,3468.0,63.0,130.0,89.0,0.0,0.0
2023-08-04,15.0,0.0,2123.0,0.0,3468.0,64.0,194.0,91.0,0.0,0.0
2023-08-11,15.0,0.0,2123.0,0.0,3468.0,75.0,274.0,91.0,0.0,0.0
2023-08-18,25.0,0.0,2123.0,0.0,3468.0,92.0,388.0,91.0,0.0,0.0
2023-08-25,26.0,0.0,2123.0,0.0,3468.0,109.0,619.0,91.0,0.0,0.0
2023-09-01,26.0,0.0,2123.0,0.0,3468.0,118.0,1002.0,91.0,0.0,0.0
2023-09-08,26.0,0.0,2123.0,0.0,3468.0,118.0,1498.0,118.0,0.0,0.0
2023-09-15,29.0,0.0,2123.0,0.0,3468.0,118.0,1501.0,141.0,0.0,0.0
2023-09-22,29.0,10.0,2123.0,0.0,3468.0,120.0,1501.0,143.0,0.0,0.0
2023-09-29,29.0,39.0,2123.0,0.0,3468.0,141.0,1501.0,143.0,46.0,35.0
2023-10-06,29.0,84.0,2123.0,0.0,3468.0,147.0,1501.0,143.0,157.0,54.0
2023-10-13,29.0,84.0,2123.0,0.0,3468.0,188.0,1501.0,143.0,221.0,70.0
2023-10-20,29.0,84.0,2123.0,0.0,3468.0,203.0,1501.0,143.0,277.0,114.0
2023-10-27,29.0,84.0,2123.0,86.0,3470.0,203.0,1501.0,143.0,432.0,114.0
2023-11-03,29.0,84.0,2123.0,91.0,3471.0,203.0,1501.0,143.0,564.0,114.0
2023-11-10,29.0,84.0,2123.0,93.0,3476.0,219.0,1501.0,143.0,713.0,114.0
2023-11-17,29.0,84.0,2123.0,159.0,3476.0,219.0,1501.0,143.0,859.0,114.0
2023-11-24,29.0,84.0,2123.0,265.0,3476.0,219.0,1501.0,143.0,1002.0,114.0
2023-12-01,29.0,84.0,2123.0,268.0,3476.0,219.0,1501.0,143.0,1214.0,114.0
2023-12-08,29.0,84.0,2123.0,268.0,3476.0,219.0,1501.0,143.0,1356.0,114.0
2023-12-15,29.0,84.0,2123.0,268.0,3476.0,220.0,1501.0,143.0,1622.0,114.0
2023-12-22,29.0,84.0,2123.0,268.0,3476.0,221.0,1501.0,143.0,2024.0,114.0
