month_ending,events,audience,cumulative_events,cumulative_audience
2023-04-30,2,47,2,47
2023-05-31,1,20,3,67
2023-06-30,1,50,4,117
2023-07-31,5,74,9,191
2023-08-31,7,354,16,545
2023-09-30,1,0,17,545
