ward_name,ward_code,celeb_events
Ardsley & Robin Hood,E05011384,0
Armley,E05011385,2
Bramley & Stanningley,E05011387,1
Burmantofts & Richmond Hill,E05011388,2
Calverley & Farsley,E05011389,1
Chapel Allerton,E05011390,3
Cross Gates & Whinmoor,E05011391,0
Gipton & Harehills,E05011394,1
Guiseley & Rawdon,E05011395,1
Harewood,E05011396,0
Headingley & Hyde Park,E05011397,0
Hunslet & Riverside,E05011399,2
Killingbeck & Seacroft,E05011400,1
Kippax & Methley,E05011401,0
Kirkstall,E05011402,1
Little London & Woodhouse,E05011403,3
Middleton Park,E05011404,0
Moortown,E05011405,0
Morley North,E05011406,0
Morley South,E05011407,0
Pudsey,E05011409,0
Rothwell,E05011410,0
Roundhay,E05011411,0
Weetwood,E05011413,1
Wetherby,E05011414,0
Horsforth,E05011547,0
Otley & Yeadon,E05011549,0
Beeston & Holbeck,E05012647,0
Farnley & Wortley,E05012648,0
Adel & Wharfedale,E05012841,0
Alwoodley,E05012842,0
Garforth & Swillington,E05013830,1
Temple Newsam,E05013831,0
