week_ending,events,audience,cumulative_events,cumulative_audience
2023-04-21,19,820,19,820
2023-04-28,0,0,19,820
2023-05-05,0,0,19,820
2023-05-12,0,0,19,820
2023-05-19,0,0,19,820
2023-05-26,0,0,19,820
2023-06-02,0,0,19,820
2023-06-09,2,41,21,861
2023-06-16,0,0,21,861
2023-06-23,1,59,22,920
2023-06-30,0,0,22,920
2023-07-07,0,0,22,920
2023-07-14,1,517,23,1437
2023-07-21,0,0,23,1437
2023-07-28,0,0,23,1437
2023-08-04,0,0,23,1437
2023-08-11,0,0,23,1437
2023-08-18,0,0,23,1437
2023-08-25,0,0,23,1437
2023-09-01,0,0,23,1437
2023-09-08,0,0,23,1437
2023-09-15,0,0,23,1437
2023-09-22,0,0,23,1437
2023-09-29,0,0,23,1437
2023-10-06,0,0,23,1437
2023-10-13,0,0,23,1437
2023-10-20,0,0,23,1437
2023-10-27,0,0,23,1437
2023-11-03,0,0,23,1437
2023-11-10,0,0,23,1437
2023-11-17,0,0,23,1437
2023-11-24,0,0,23,1437
2023-12-01,0,0,23,1437
2023-12-08,8,935,31,2372
