month_ending,events,audience,cumulative_events,cumulative_audience
2023-04-30,19,820,19,820
2023-05-31,0,0,19,820
2023-06-30,3,100,22,920
2023-07-31,0,0,22,920
2023-08-31,0,0,22,920
2023-09-30,0,0,22,920
2023-10-31,0,0,22,920
2023-11-30,0,0,22,920
2023-12-31,8,935,30,1855
