ward_code,authors_abroad,become_a_barn_raiser,become_a_wowser,dancers_of_leeds,early_career_music_promoters,gill_crawshaw_commission,guardians_of_leeds_creative_collab,leeds_on_wheels,leeds_young_film,lift_the_lid,meet_leeds_lab,nyt_playhouse_acting_course,off_the_curriculum,youth_fund,responses,barn_plus_wow_responses
E05000731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E05000735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05000889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
E05000979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
E05001341,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
E05001342,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E05001343,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2
E05001345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05001347,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,1
E05001349,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1
E05001350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05001352,0,2,1,0,0,0,0,0,0,1,0,1,0,0,5,3
E05001353,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001354,0,5,0,0,0,0,0,0,0,0,0,1,0,0,6,5
E05001355,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0
E05001356,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001359,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,2
E05001360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001362,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7
E05001363,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1
E05001364,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001368,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,2
E05001369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001371,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001372,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6
E05001373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
E05001376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001379,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001380,0,3,0,0,0,0,0,0,0,1,0,1,0,0,5,3
E05001381,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E05001382,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1
E05001383,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001385,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2
E05001386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001390,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
E05001392,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001398,0,2,0,0,0,0,0,0,0,2,0,1,0,0,5,2
E05001399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E05001400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
E05001401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E05001402,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1
E05001409,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0
E05001410,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2
E05001444,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1
E05001446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
E05001448,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E05001451,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
E05001453,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,2
E05001454,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2
E05001456,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
E05001457,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001458,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
E05001459,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
E05001460,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E05001461,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
E05001462,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,2
E05001463,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,3
E05001464,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,2
E05001538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
