date_submitted,authors_abroad,become_a_barn_raiser,become_a_wowser,dancers_of_leeds,early_career_music_promoters,gill_crawshaw_commission,leeds_on_wheels,leeds_young_film,lift_the_lid,meet_leeds_lab,nyt_playhouse_acting_course,off_the_curriculum
2022-10-21,0,0,0,0,1,0,0,0,0,0,0,0
2022-10-28,0,0,0,13,3,0,14,0,0,2,0,0
2022-11-04,0,0,0,5,4,0,3,0,0,3,0,0
2022-11-11,0,0,1,4,3,0,4,0,0,1,0,0
2022-11-18,6,0,0,7,3,0,7,0,0,9,0,10
2022-11-25,4,0,1,8,13,0,1,1,0,19,0,2
2022-12-02,1,0,0,0,26,0,0,2,0,0,0,3
2022-12-09,5,0,0,0,0,0,0,1,0,0,0,0
2022-12-16,3,0,0,0,0,0,0,1,0,0,0,3
2022-12-23,1,0,4,0,0,0,0,0,0,0,0,0
2022-12-30,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-06,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,3,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,2,0,0,0,0,0,0,0,16,0,0,0
2023-01-27,1,0,7,0,0,0,0,0,77,0,0,0
2023-02-03,0,0,2,0,0,0,0,0,138,0,0,0
2023-02-10,0,224,0,0,0,0,0,0,0,0,0,0
2023-02-17,0,61,0,0,0,0,0,0,0,0,0,0
2023-02-24,0,50,0,0,0,0,0,0,0,0,2,0
2023-03-03,0,87,0,0,0,0,0,0,0,0,4,0
2023-03-10,0,73,0,0,0,1,0,0,0,0,2,0
2023-03-17,0,25,0,0,0,0,0,0,0,0,8,0
2023-03-24,0,14,0,0,0,0,0,0,0,0,23,0
2023-03-31,0,20,0,0,0,1,0,0,0,0,36,0
2023-04-07,0,1,0,0,0,4,0,0,0,0,2,0
2023-04-14,0,6,0,0,0,2,0,0,0,0,0,0
2023-04-21,0,19,0,0,0,6,0,0,0,0,0,0
2023-04-28,0,10,0,0,0,14,0,0,0,0,0,0
2023-05-05,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-12,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-19,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-26,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-02,0,0,0,0,0,0,0,0,0,0,1,0
2023-06-09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,1,0,0,0,0
