wd21nm,wd21cd,date,attendance
Kirkstall,E05011402,2022-05-12,12
Guiseley & Rawdon,E05011395,2022-05-14,18
Alwoodley,E05012842,2022-05-16,23
Bramley & Stanningley,E05011387,2022-05-18,18
Weetwood,E05011413,2022-05-20,21
Beeston & Holbeck,E05012647,2022-05-24,5
Hunslet & Riverside,E05011399,2022-05-27,17
Armley,E05011385,2022-05-30,11
Chapel Allerton,E05011390,2022-05-31,17
Weetwood,E05011413,2022-06-06,12
Otley & Yeadon,E05011549,2022-06-10,5
Calverley & Farsley,E05011389,2022-06-14,59
Gipton & Harehills,E05011394,2022-06-16,35
Headingley & Hyde Park,E05011397,2022-06-18,52
Cross Gates & Whinmoor,E05011391,2022-06-20,6
Morley South,E05011407,2022-06-22,28
Pudsey,E05011409,2022-06-24,25
Killingbeck & Seacroft,E05011400,2022-06-28,45
Wetherby,E05011414,2022-06-30,7
Garforth & Swillington,E05013830,2022-07-03,8
Moortown,E05011405,2022-07-06,28
Rothwell,E05011410,2022-07-08,6
Middleton Park,E05011404,2022-07-13,30
Farnley & Wortley,E05012648,2022-07-14,15
Roundhay,E05011411,2022-07-16,77
Morley North,E05011406,2022-07-20,13
Kirkstall,E05011402,2022-07-21,18
Temple Newsam,E05013831,2022-07-22,24
Harewood,E05011396,2022-07-26,32
Horsforth,E05011547,2022-07-27,32
Kippax & Methley,E05011401,2022-08-02,56
Ardsley & Robin Hood,E05011384,2022-08-03,22
Burmantofts & Richmond Hill,E05011388,2022-08-08,8
Adel & Wharfedale,E05012841,2022-08-30,16
